Day Number;Part 1;Part 2;Total
1;00:00:00.0011543;00:00:00.0005526;00:00:00.0017069
2;00:00:00.0025987;00:00:00.0070802;00:00:00.0096789
3;00:00:00.0033517;00:00:00.0035215;00:00:00.0068732
4;00:00:00.6693742;00:00:21.4040869;00:00:22.0734611
5;00:00:00.0070348;00:00:00.0212701;00:00:00.0283049
6;00:00:00.5935394;00:00:00.6089077;00:00:01.2024471
7;00:00:00.0075409;00:00:00.0014751;00:00:00.0090160
8;00:00:00.0017517;00:00:00.0004183;00:00:00.0021700
9;00:00:00.1847401;00:00:00.1748834;00:00:00.3596235
10;00:00:00.2195324;00:00:03.0802373;00:00:03.2997697
11;00:00:01.5022467;00:00:05.7236019;00:00:07.2258486
12;00:00:00.0019622;00:00:00.2000831;00:00:00.2020453
13;00:00:00.1504389;00:00:01.5771981;00:00:01.7276370
14;00:00:00.0013728;00:00:00.0052329;00:00:00.0066057
15;00:00:18.3031634;00:00:10.4860962;00:00:28.7892596
16;00:00:00.0031755;00:00:00.0008003;00:00:00.0039758
17;00:00:25.4871561;00:00:00.0168572;00:00:25.5040133
18;00:00:00.4365005;00:00:00.3847763;00:00:00.8212768
19;00:00:00.0448054;00:00:06.3342231;00:00:06.3790285
20;01:18:53.9916780;00:00:30.2330882;01:19:24.2247662
21;00:00:00.0136501;00:00:00.0001453;00:00:00.0137954
22;00:00:00.8223551;00:00:00.2751239;00:00:01.0974790
23;00:00:00.0027425;00:00:00.0005744;00:00:00.0033169
24;00:00:12.5863932;00:00:02.0813561;00:00:14.6677493
25;00:00:00.6102576;00:00:00.0002469;00:00:00.6105045
